Class,Function,Clone type,Settings,AntiCopyPaster v1.0 clone detection?,AntiCopyPaster v3.0 clone detection?,Link to video v1.0,Link to video v3.0
class: JHDDropTargetListener,dragOver,Type 2(a),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERlTxsu8T1xOm6CBdAlzeQ0BnC0pOoY5uF6CLGefpw9yMg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Nu920p,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EWiGFz9biJ1MgaE-fc4LNCoBe4HCgtXhBCR3I1caqcTnTw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=adXN57
class: StandardLayouter,layout,Type 2(a),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZRpMrpYUQZOsiltxrZp3m8BuvALOi2GtY7QeeGkOwhE1g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=5gaZZW,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EdCgFy1XdWdLkIEyk_-tkLgBOv_RXpdnreNq2XHyG-UF_w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=2WByeK
class: LineConnection,basicMoveBy,Type 2(b),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EfNZSTDNs_RDsSbRXmRhOawBx5Rt-iiit5Wi6MpVJhBIHA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=fUUvBt,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EbMFsz7GW35KlIQ_bGwGWJsBoAQYkZQc2n-rWh1x7Fot7g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=im0SCP
class: Triangle Figure,rotate,Type 2(b),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZiNfplPn91NpySqatvzsgsBCT4thLuO3SHXRlTJ3d0N9g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=SadCnz,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ES9oJxueJz9LggS3oqR7rAABa5W1Rru_bt7ZEre1662M_Q?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ak7FgF
class: SplitPaneDesktop,removeFromDesktop,Type 2(b),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/Efy1qg-EWkpHp3FEAyPN67QBpnwWJg8qgy88tuK5P5Y6-Q?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=cQcrRc,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EXmkRbsxToRBkH1WmEn1OKwBUIQRzd26RnovOOszKAiqmQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=3Jl7f1
class: Helper,getDrawingView,Type 2(b),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EaV30ya2ho5Np3JMKC6uy_IBNQ8sZ4queW5qgor1eouC1A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=jWeWrI,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZ_Z1O_5fJJOtwn-zaQbe34BwF8W67HRd6ZrTH4WKGVXZQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=FXLOdX
class: PolygonFigure,splitSegment,Type 2(c),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYEhDeAb_D5FqCFxle7n3qIBLoEjRKunUru2M23pxjRCjA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=6N6MLB,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EWjuOlTon_lDpBK8BAEWlBwBM7SNtiwD2uZJnKScWNCKNg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=hvPuuJ
class: PatternPainter,drawPattern,Type 2(c),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZkDQnLP11hNubHn9w-CqygBgSFKv2tLZ5_rFmclVq-nMA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=nWQZ1X,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EfRK5TFmks5Kiq1MJ8zg4i4B61_LWNHWsF2Ov_KYm0cQ0Q?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Pt8QUh
class: EllipseFigure,connectionInsets,Type 2(c),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYx07XqxBuJLtK3qA3FXcVQBJqfUxMLeb2NGUiQPjCwsww?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=At2Dpw,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EeFJ7POEcj9GlxOSsrE6soIBZiqBMJ9-CdeuVcZdc2vedg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=c7R7e0
class: PolyLineConnector,chop,Type 2(c),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EbgU4KNszV5OiicF1jbd7ZIBeDT1CzrhCQySW-aBKqt4Zw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=d57YzB,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZS2jy73cvBEpiWJW2iFJUYBAhzNKKzo5unv8tHrb7Hlyw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=chpnZ6
class: Geom ,range,Type 2(d),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYmyMhyqNIJJmzcXqn-1JfABmYu6IxKObwjXg4GqwDv6Cg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=dpV7Kf,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EWvMGyNiShRNoR7jOITeEsgBe0E9RxcIkO6JBCmk74lfvw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=FRqlAu
class: PalleteLayout,layoutContainer,Type 2(d),Al model,Yes,No,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EW0jBqYQwctKswsS3LN7b3QBs_EMUB4LCUBMskILiLMC7w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=QeWkQO,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYDhyM7hRPNIhE-9304zmPABO1Y32154oBnZnLtm4rJ33g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Px7j4u
class: GraphLayout,update,Type 2(d),Al model,Yes,No,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EeWPuNlcDRhHrbiIWitOetsB6WqQuMxxvPZU-JZAtrJH-A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=0HpiKB,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EU8Z8ijG39ZDtgHMMCmf2kcBmhRxqavS4JisVJPAtMbByw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=CxzsZv
class: PeripherallLocator,locate,Type 2(d),Al model,Yes,No,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EQzeh3GmY4FCpVSx65WkmJsB9bkTjyZwOo2_gJv4Goq9bQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=QuQcZz,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ER826-we1RBJqijuGJ1GMb0BH8IkiDxCa5n4nzrf07fHbw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=eLedkB
