Class,Clone type,Settings,AntiCopyPaster v1.0 clone detection?,AntiCopyPaster v3.0 clone detection?,Link to video v1.0,Link to video v3.0
Type1a_1.java,Type 1(a),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EX1vLZTqfPBLtvomgCVdQ-MBzSruiEwoZTgoxl-_HfL-qw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=3InupF,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ES32sQ8Ol_9OjjYqxpHpLFkB9o7vnNOvrV144j7Je7ACHA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ayWFOf
Type1a_2.java,Type 1(a),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EdXQoTbNMTBIuooXdQdzEbYBm8gn4Gu_yph8fIxR1YHuHQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=3ah48u,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZ1KAOKY7ehNoNuFqyStNnABFH40jKcvXq6OVKK76tUZqw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=4VILAs
Type1b_1.java,Type 1(b),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EUivY1UxUYFLnOq9qybdPrYBf5q7ttR27xzsNq4krPQcmQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=MW0QlD,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EbFA1sOIREREsrj6FmSG7FsBXaWTbkYz8O4NOPs7RIzG0g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=vbuC5I
Type1b_2.java,Type 1(b),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZWJBXEmhyBOsrdYgKyE0p4BdVT7Utnf1m1gh26AuwMZhQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Ur9r4Z,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ETPmtqH0cQFDmvMzzWnLIisB1mLKvhQbSXEpyKS1Vo74Kg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=AvVWqL
Type1c_1.java,Type 1(c),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERk3lS2RWG5HgzHrTAyZZxQBlOnlfHAtHQtPcUNTzA09Ow?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=fvXTTW,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EcqC1AqERhVEibkGcQYjoo8BZzhTDE0RlGFfRo2zuzSr5A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=DL1vNn
Type1c_2.java,Type 1(c),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EVfY6_V3r5VIoXg0K83j-SoBTK8vEuzadkppmANFSQBEbw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=c5tEsV,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EUEl47vWnedHmyY-OJQGh9EByifm06Y6dxJ5VnzBbUH5Dw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=N8OgOz
Type2a_1.java,Type 2(a),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EadAuPGUTuRIv1Ht2HE70K4BX---zB8jLHKrj5_H_iQ-0A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=QHWdMW,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYvrQpnu5flPvk6KHwLf448BGYp-QXGWblaPvXG2luT9og?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=n7Qne1
Type2a_2.java,Type 2(a),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ER26wzddNWtKlfK00mnFg8EBmdYzcSRqkIZUvZibE-gXaw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=mQ1NLq,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/Eas6LgCweqdIpfXGNVdXDKcBA_0T-YLU9mXXW9q2bUt2YQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=G8FF9C
Type2b_1.java,Type 2(b),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EWQDqjEw8MBElIZAtc6K8OMBNSIFbIEBDU4EMHcf6B2hyA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=kMRBEK,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EV8qYrCyo9BNjMC9OXs1mUUBoJCn7j5W2oUOxBYnWv7C2w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=tuGJrS
Type2b_2.java,Type 2(b),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EfRmZzESrjJLo6R4JTVognUBqRCoreD0Z1lMMckf5h_BbA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=K8EkT8,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERXYNF8tjeVHv9gmOdrflkYBIH6SPPxOM1xcEepB4Q5YJw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=qxMv5n
Type2d_1.java,Type 2(d),AI model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/Ef9U01vkVJhFg4-WL4FZsyMBiGEKnA-HtJD2Iiog6cjLkw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=dwF1oE,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EesQM3H_ssxFilAFQnOiu1YBExosMZxwSZ4poLP_N_ib1g?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=lOLm6e
Type2d_2.java,Type 2(d),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERtq4moEMEtOhaz_SpGPN40By_hBchNCUANS1n4Xbc7vMg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=CvQOAF,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZutE8BTZ5NDq-bK5LD-lFwBFottmrjDiRJjfNtXuas4Hw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=hJGEzC
type2c_1.java,Type 2(c),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EUehf8ycgRtOo4XE3iuUgCMBLusLFlodWfE9ZkasRkuqLw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=czN2Wd,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EVKQbPtL8YJLgL2oBLj51DsBiTYxOxbiMcOhnIkyOkyRbw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=xZVZ2m
type2c_2.java,Type 2(c),AI model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EUODMjR-vUBCtit-EOkQMxEBGyTSyiXsYeA8jUdxzALnGw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=PLmf9a,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EdJcKwDsDupIrYs8Xb0keMoB_4cL_xrxv_NAaDbYGDgQnw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=7mYzVF
